,SMILES,Y
0,C12(C3([N+]([O-])=O)C4(C5(C3(C1([N+](=O)[O-])C5(C24)[N+](=O)[O-])[N+]([O-])=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.419
1,C12([N+](=O)[O-])C3(C4([N+]([O-])=O)C1(C1C2([N+]([O-])=O)C3([N+]([O-])=O)C14[N+]([O-])=O)[N+]([O-])=O)[N+](=O)[O-],6.419
2,[O-][N+](C12C3([N+](=O)[O-])C4([N+]([O-])=O)C2(C2([N+](=O)[O-])C4([N+]([O-])=O)C3C21[N+](=O)[O-])[N+](=O)[O-])=O,6.419
3,[N+]([O-])(=O)C12C3(C4(C1(C1([N+](=O)[O-])C2C3(C14[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+](=O)[O-])[N+]([O-])=O,6.419
4,C12(C3(C4([N+](=O)[O-])C2(C2([N+]([O-])=O)C4C3(C12[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.419
5,[O-][N+](C12C3(C4([N+]([O-])=O)C1(C1([N+](=O)[O-])C4([N+](=O)[O-])C3([N+]([O-])=O)C21)[N+](=O)[O-])[N+](=O)[O-])=O,6.419
6,C12([N+]([O-])=O)C3(C4([N+](=O)[O-])C2C2([N+](=O)[O-])C1(C3(C42[N+](=O)[O-])[N+]([O-])=O)[N+](=O)[O-])[N+](=O)[O-],6.419
7,[O-][N+](C12C3([N+](=O)[O-])C4C5([N+]([O-])=O)C3([N+](=O)[O-])C2([N+]([O-])=O)C5([N+]([O-])=O)C14[N+]([O-])=O)=O,6.419
8,C12([N+]([O-])=O)C3([N+]([O-])=O)C4(C5(C(C1(C53[N+]([O-])=O)[N+](=O)[O-])C42[N+](=O)[O-])[N+](=O)[O-])[N+]([O-])=O,6.419
9,O=[N+](C12C3C4(C5([N+](=O)[O-])C(C41[N+]([O-])=O)(C2(C53[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+]([O-])=O)[O-],6.419
10,[N+](C12C3([N+]([O-])=O)C4C1([N+](=O)[O-])C1(C2(C3(C14[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)([O-])=O,6.419
11,[O-][N+](=O)C12C3(C4C2(C2([N+](=O)[O-])C1([N+](=O)[O-])C3([N+]([O-])=O)C24[N+](=O)[O-])[N+](=O)[O-])[N+]([O-])=O,6.419
12,O=[N+](C12C3([N+]([O-])=O)C4([N+]([O-])=O)C5(C3(C2([N+]([O-])=O)C5([N+]([O-])=O)C41)[N+](=O)[O-])[N+]([O-])=O)[O-],6.419
13,[O-][N+](C12C3([N+]([O-])=O)C4(C5(C3([N+](=O)[O-])C2([N+](=O)[O-])C5C14[N+](=O)[O-])[N+]([O-])=O)[N+](=O)[O-])=O,6.419
14,O=[N+]([O-])C12C3(C4([N+]([O-])=O)C5C3([N+]([O-])=O)C1([N+]([O-])=O)C5([N+](=O)[O-])C42[N+]([O-])=O)[N+](=O)[O-],6.419
15,O=[N+](C12C3([N+](=O)[O-])C4C5(C3([N+](=O)[O-])C1(C5(C24[N+]([O-])=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[O-],6.419
16,C12([N+]([O-])=O)C3([N+]([O-])=O)C4([N+]([O-])=O)C1(C1([N+]([O-])=O)C2(C3(C41)[N+]([O-])=O)[N+]([O-])=O)[N+](=O)[O-],6.419
17,[N+](C12C3(C4(C5([N+](=O)[O-])C3(C1(C5([N+](=O)[O-])C24)[N+](=O)[O-])[N+](=O)[O-])[N+]([O-])=O)[N+](=O)[O-])([O-])=O,6.419
18,[N+]([O-])(=O)C12C3(C4(C1([N+]([O-])=O)C1C4(C3([N+]([O-])=O)C21[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,6.419
19,[O-][N+](=O)C12C3(C4([N+](=O)[O-])C5([N+]([O-])=O)C(C42[N+](=O)[O-])([N+]([O-])=O)C1([N+]([O-])=O)C53)[N+]([O-])=O,6.419
20,C12(C3(C4(C1([N+]([O-])=O)C1(C2(C3(C14)[N+](=O)[O-])[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+](=O)[O-],6.419
